intent,button
hüvasti_jätmine,soovid minuga hüvasti jätta
kompliment_botile,soovid mulle komplimenti teha
kuidas_läheb,kuidas Bürokratil läheb
abi_küsimine,soovid abi küsida
kas_oled_robot,tunned huvi Bürokrati kohta
mida_teha_oskad,mida Bürokratt teha oskab
kuidas_sa_töötad,soovid teada kuidas Bürokratt töötab
kelle_loodud,soovid teada kes Bürokrati tegid
meeldiv_tutvuda,soovid Bürokratiga tutvuda
kui_vana_oled,soovid teada Bürokrati vanust
milline_välimus,tunned huvi Bürokrati välimuse kohta
hädaabi_number,soovid teha hädaabi kõne
vaimne_tervis,soovid vaimset tuge
mis_keeles,mis keeles Bürokratt räägib
covid_küsimused,küsimus COVID-19 kohta
roppused,väljendusid ebaviisakalt
kinnitamine,kinnitav vastus
eitamine,eitav vastus
tänamine,soovisid tänada
tervitus,soovisid tervitada
klienditeenindajale_suunamine,soovin klienditeenindaja poole pöörduda
